,text,_score,_pvalue
1695,thời_lượng,1.51189749847468,0.21884977311074347
2017,xuất_sắc,1.51189749847468,0.21884977311074347
1735,tn,1.51189749847468,0.21884977311074347
450,câu,1.51189749847468,0.21884977311074347
239,bít,1.51189749847468,0.21884977311074347
1946,voucher,1.51189749847468,0.21884977311074347
286,bố,1.51189749847468,0.21884977311074347
389,chắc_tay,1.51189749847468,0.21884977311074347
420,chữ,1.51189749847468,0.21884977311074347
1611,tai,1.51189749847468,0.21884977311074347
1746,treo,1.51189749847468,0.21884977311074347
2120,đk,1.51189749847468,0.21884977311074347
200,bh,1.51189749847468,0.21884977311074347
1647,thoải_mái,1.51189749847468,0.21884977311074347
487,cảnh,1.51189749847468,0.21884977311074347
58,2tr6,1.51189749847468,0.21884977311074347
955,lo,1.51189749847468,0.21884977311074347
848,khay,1.51189749847468,0.21884977311074347
846,kg,1.51189749847468,0.21884977311074347
828,ios,1.51189749847468,0.21884977311074347
2202,đối,1.51189749847468,0.21884977311074347
824,inbox,1.51189749847468,0.21884977311074347
813,hợp_lí,1.51189749847468,0.21884977311074347
1444,quen,1.51189749847468,0.21884977311074347
1020,lỗ,1.51189749847468,0.21884977311074347
1025,lộn,1.51189749847468,0.21884977311074347
1036,lừa_đảo,1.51189749847468,0.21884977311074347
1429,poco,1.51189749847468,0.21884977311074347
542,docomo,1.51189749847468,0.21884977311074347
547,dung,1.51189749847468,0.21884977311074347
770,hướng_dẫn_nhiệt_tình,1.51189749847468,0.21884977311074347
1094,màng,1.51189749847468,0.21884977311074347
1399,phân_vân,1.51189749847468,0.21884977311074347
1278,nhung,1.51189749847468,0.21884977311074347
1279,nhá,1.51189749847468,0.21884977311074347
1248,ngờ,1.51189749847468,0.21884977311074347
1301,nhập,1.51189749847468,0.21884977311074347
649,good,1.51189749847468,0.21884977311074347
684,hang,1.51189749847468,0.21884977311074347
947,liên,1.51189749847468,0.21884977311074347
596,fre,1.51189749847468,0.21884977311074347
696,hihi,1.51189749847468,0.21884977311074347
1187,mới_dụng,1.51189749847468,0.21884977311074347
1356,nứt,1.51189749847468,0.21884977311074347
1367,on,1.51189749847468,0.21884977311074347
1370,otg,1.51189749847468,0.21884977311074347
1116,máy_oke,1.51189749847468,0.21884977311074347
1199,nam,1.51189749847468,0.21884977311074347
854,khiếu_nại,1.51189749847468,0.21884977311074347
637,giải_trí,1.51189749847468,0.21884977311074347
473,cường,1.51189749847468,0.21884977311074347
870,khóa,1.51189749847468,0.21884977311074347
937,laptop,1.51189749847468,0.21884977311074347
1548,sony,1.51189749847468,0.21884977311074347
862,khuyên,1.51189749847468,0.21884977311074347
935,la,1.51189749847468,0.21884977311074347
1860,tạm_thời,1.5278024406109958,0.21644255906500795
829,ipad,1.5642862036439278,0.21103873958328964
229,báo,1.5642862036439278,0.21103873958328964
432,cskh,1.5748433684390912,0.20950503102388648
2012,xu,1.5748433684390912,0.20950503102388648
1798,trợ,1.5748433684390912,0.20950503102388648
931,kỹ_càng,1.5748433684390912,0.20950503102388648
146,95,1.584823413703803,0.20806728547062353
270,bật,1.584823413703803,0.20806728547062353
1470,rep,1.584823413703803,0.20806728547062353
288,bổ,1.584823413703803,0.20806728547062353
2059,yêu,1.584823413703803,0.20806728547062353
500,cắm,1.584823413703803,0.20806728547062353
1049,mau,1.584823413703803,0.20806728547062353
1393,phát_triển,1.584823413703803,0.20806728547062353
1178,mỏng,1.584823413703803,0.20806728547062353
489,cấn,1.584823413703803,0.20806728547062353
235,bình_chọn,1.637987625292225,0.20060179768476352
1683,thất_vọng,1.6381718611271565,0.2005764806897189
1161,mấy,1.6463275527315306,0.1994595087223309
1250,nha,1.657239802256569,0.1979764126526234
190,bao,1.6617139763374373,0.1973720650418013
1590,sắc,1.6674292037163143,0.1966032255245972
403,chống,1.7087956691244135,0.19114170085292956
1496,rẻ,1.7281364822910423,0.1886490610379037
2009,xong,1.7307584658355348,0.1883140634420595
1011,lắm,1.753359036051807,0.18545501140265122
861,khui,1.7548395021134993,0.18526949442844362
2168,đảm_bảo,1.7548395021134993,0.18526949442844362
859,khoẻ,1.7548395021134993,0.18526949442844362
1308,nhẹ_nhàng,1.7548395021134993,0.18526949442844362
1083,mong,1.8340313261011387,0.1756521265455872
2182,đặt_hàng,1.8658061310774297,0.1719561824225722
1467,ram,1.9166855212811313,0.16622250734562327
447,cáp,1.9166855212811313,0.16622250734562327
2237,ảnh_hưởng,1.9633323172738484,0.16115738108141098
902,ko,1.9711576050364104,0.16032504232008907
62,300k,1.9842615012106535,0.15894218542696759
903,kon,1.9842615012106535,0.15894218542696759
193,basic,1.9842615012106535,0.15894218542696759
727,htrc,1.9842615012106535,0.15894218542696759
1889,tổng_cộng,1.9842615012106535,0.15894218542696759
1937,việt_bền,1.9842615012106535,0.15894218542696759
1137,mót,1.9842615012106535,0.15894218542696759
66,32gb,1.9842615012106535,0.15894218542696759
695,highly,1.9842615012106535,0.15894218542696759
194,battery,1.9842615012106535,0.15894218542696759
1897,từ_điển,1.9842615012106535,0.15894218542696759
1195,mở_màn_hình,1.9842615012106535,0.15894218542696759
227,bái,1.9842615012106535,0.15894218542696759
905,kt,1.9842615012106535,0.15894218542696759
906,ktra,1.9842615012106535,0.15894218542696759
1179,mốp,1.9842615012106535,0.15894218542696759
717,hoài,1.9842615012106535,0.15894218542696759
1147,mưa,1.9842615012106535,0.15894218542696759
1150,mười,1.9842615012106535,0.15894218542696759
1157,mảng,1.9842615012106535,0.15894218542696759
1925,van,1.9842615012106535,0.15894218542696759
1927,vc,1.9842615012106535,0.15894218542696759
1162,mầu,1.9842615012106535,0.15894218542696759
1180,mốt,1.9842615012106535,0.15894218542696759
209,bos,1.9842615012106535,0.15894218542696759
211,bt,1.9842615012106535,0.15894218542696759
212,btre,1.9842615012106535,0.15894218542696759
1169,mặt_bằng,1.9842615012106535,0.15894218542696759
215,build,1.9842615012106535,0.15894218542696759
1903,ukie,1.9842615012106535,0.15894218542696759
199,bfd,1.9842615012106535,0.15894218542696759
1932,viettel,1.9842615012106535,0.15894218542696759
710,hoan_hô,1.9842615012106535,0.15894218542696759
1902,ui,1.9842615012106535,0.15894218542696759
945,like_mạnh,1.9842615012106535,0.15894218542696759
232,bãi,1.9842615012106535,0.15894218542696759
1844,tươi_sáng,1.9842615012106535,0.15894218542696759
881,khủng_khiếp,1.9842615012106535,0.15894218542696759
2151,đóng_góp,1.9842615012106535,0.15894218542696759
648,goi,1.9842615012106535,0.15894218542696759
1840,túi_xách,1.9842615012106535,0.15894218542696759
1838,túi_bóng,1.9842615012106535,0.15894218542696759
1836,tùy,1.9842615012106535,0.15894218542696759
1835,tôt,1.9842615012106535,0.15894218542696759
1834,tôn_trọng,1.9842615012106535,0.15894218542696759
645,global,1.9842615012106535,0.15894218542696759
266,bầm,1.9842615012106535,0.15894218542696759
2155,đùn_đẩy,1.9842615012106535,0.15894218542696759
1251,nha_,1.9842615012106535,0.15894218542696759
1254,nhaaa,1.9842615012106535,0.15894218542696759
1256,nhanh1,1.9842615012106535,0.15894218542696759
2220,đợ,1.9842615012106535,0.15894218542696759
1823,tên_lửa,1.9842615012106535,0.15894218542696759
1259,nhanh_vậy,1.9842615012106535,0.15894218542696759
1819,tâ,1.9842615012106535,0.15894218542696759
652,gán,1.9842615012106535,0.15894218542696759
658,gòn,1.9842615012106535,0.15894218542696759
260,bảo_đảm,1.9842615012106535,0.15894218542696759
1849,tương_tự,1.9842615012106535,0.15894218542696759
1884,tốt_bụng,1.9842615012106535,0.15894218542696759
2172,đầu_bảng,1.9842615012106535,0.15894218542696759
1881,tối_ưu,1.9842615012106535,0.15894218542696759
689,hdsd,1.9842615012106535,0.15894218542696759
685,hanoi,1.9842615012106535,0.15894218542696759
234,bình,1.9842615012106535,0.15894218542696759
1204,net,1.9842615012106535,0.15894218542696759
1940,vmart,1.9842615012106535,0.15894218542696759
891,kinh_nghiệm,1.9842615012106535,0.15894218542696759
230,báo_giá,1.9842615012106535,0.15894218542696759
1207,nexus,1.9842615012106535,0.15894218542696759
1211,nghiêm,1.9842615012106535,0.15894218542696759
677,gọn_nhẹ,1.9842615012106535,0.15894218542696759
1218,nghẽ,1.9842615012106535,0.15894218542696759
1224,ngoại_thành,1.9842615012106535,0.15894218542696759
249,băng_keo,1.9842615012106535,0.15894218542696759
460,công_cộng,1.9842615012106535,0.15894218542696759
1857,tượng_trưng,1.9842615012106535,0.15894218542696759
1226,nguy_hiểm_,1.9842615012106535,0.15894218542696759
1853,tường,1.9842615012106535,0.15894218542696759
679,gỡ,1.9842615012106535,0.15894218542696759
1874,tỉnh,1.9842615012106535,0.15894218542696759
750,hình_dung,1.9842615012106535,0.15894218542696759
21,17,1.9842615012106535,0.15894218542696759
119,690k,1.9842615012106535,0.15894218542696759
827,india,1.9842615012106535,0.15894218542696759
993,lý,1.9842615012106535,0.15894218542696759
825,inch,1.9842615012106535,0.15894218542696759
818,ib,1.9842615012106535,0.15894218542696759
10,115,1.9842615012106535,0.15894218542696759
126,75,1.9842615012106535,0.15894218542696759
2117,điện_thoại_xuyên,1.9842615012106535,0.15894218542696759
127,750k,1.9842615012106535,0.15894218542696759
2056,yt,1.9842615012106535,0.15894218542696759
2039,xúc,1.9842615012106535,0.15894218542696759
2033,xé,1.9842615012106535,0.15894218542696759
927,kể_ra,1.9842615012106535,0.15894218542696759
1014,lề_mề,1.9842615012106535,0.15894218542696759
1018,lỏng,1.9842615012106535,0.15894218542696759
2027,xác,1.9842615012106535,0.15894218542696759
80,450k,1.9842615012106535,0.15894218542696759
2024,xà_đơn_vị,1.9842615012106535,0.15894218542696759
800,hồ,1.9842615012106535,0.15894218542696759
2019,xxx,1.9842615012106535,0.15894218542696759
2037,xíuuu,1.9842615012106535,0.15894218542696759
1034,lừ,1.9842615012106535,0.15894218542696759
2057,yên,1.9842615012106535,0.15894218542696759
117,67,1.9842615012106535,0.15894218542696759
88,4m4,1.9842615012106535,0.15894218542696759
2101,đa_nhiệm,1.9842615012106535,0.15894218542696759
91,4tr8,1.9842615012106535,0.15894218542696759
2095,úp,1.9842615012106535,0.15894218542696759
97,590,1.9842615012106535,0.15894218542696759
98,5g,1.9842615012106535,0.15894218542696759
99,5ghz,1.9842615012106535,0.15894218542696759
2113,điểm_trừ,1.9842615012106535,0.15894218542696759
960,loay_hoay,1.9842615012106535,0.15894218542696759
118,69,1.9842615012106535,0.15894218542696759
2082,âm_thầm,1.9842615012106535,0.15894218542696759
843,keeng,1.9842615012106535,0.15894218542696759
840,k30,1.9842615012106535,0.15894218542696759
2076,ánh_sáng,1.9842615012106535,0.15894218542696759
973,luợng,1.9842615012106535,0.15894218542696759
109,60,1.9842615012106535,0.15894218542696759
837,jack,1.9842615012106535,0.15894218542696759
2069,zip,1.9842615012106535,0.15894218542696759
830,ipad4,1.9842615012106535,0.15894218542696759
985,lên_tiếng,1.9842615012106535,0.15894218542696759
106,5tr5,1.9842615012106535,0.15894218542696759
79,45,1.9842615012106535,0.15894218542696759
791,hịn,1.9842615012106535,0.15894218542696759
145,93,1.9842615012106535,0.15894218542696759
2129,đàng_hoàng,1.9842615012106535,0.15894218542696759
2235,ưu_đãi,1.9842615012106535,0.15894218542696759
1100,mát,1.9842615012106535,0.15894218542696759
919,ký_tự,1.9842615012106535,0.15894218542696759
1102,máy_bay,1.9842615012106535,0.15894218542696759
1967,vẫn_vậy,1.9842615012106535,0.15894218542696759
1966,vầy,1.9842615012106535,0.15894218542696759
1103,máy_chất,1.9842615012106535,0.15894218542696759
2109,đien,1.9842615012106535,0.15894218542696759
2166,đạn,1.9842615012106535,0.15894218542696759
17,150,1.9842615012106535,0.15894218542696759
182,app,1.9842615012106535,0.15894218542696759
867,khích_lệ,1.9842615012106535,0.15894218542696759
1117,máy_rẻ,1.9842615012106535,0.15894218542696759
1118,máy_sài,1.9842615012106535,0.15894218542696759
1121,máy_zin,1.9842615012106535,0.15894218542696759
1952,ván,1.9842615012106535,0.15894218542696759
1123,máy_ảnh,1.9842615012106535,0.15894218542696759
736,hàng_hỏa_tốc,1.9842615012106535,0.15894218542696759
20,169k,1.9842615012106535,0.15894218542696759
1109,máy_lượng,1.9842615012106535,0.15894218542696759
172,an_toàn,1.9842615012106535,0.15894218542696759
171,an,1.9842615012106535,0.15894218542696759
1090,muộn,1.9842615012106535,0.15894218542696759
2125,đthoai,1.9842615012106535,0.15894218542696759
1040,lựạ,1.9842615012106535,0.15894218542696759
778,hậu,1.9842615012106535,0.15894218542696759
775,hạt,1.9842615012106535,0.15894218542696759
154,9a,1.9842615012106535,0.15894218542696759
156,9h,1.9842615012106535,0.15894218542696759
1064,minh_họa,1.9842615012106535,0.15894218542696759
2247,ết,1.9842615012106535,0.15894218542696759
771,hưởng,1.9842615012106535,0.15894218542696759
76,3u,1.9842615012106535,0.15894218542696759
1997,wow,1.9842615012106535,0.15894218542696759
159,accu,1.9842615012106535,0.15894218542696759
1070,miến,1.9842615012106535,0.15894218542696759
1073,miễn,1.9842615012106535,0.15894218542696759
758,hóa_đơn,1.9842615012106535,0.15894218542696759
163,ads,1.9842615012106535,0.15894218542696759
1084,mong_manh,1.9842615012106535,0.15894218542696759
757,hò,1.9842615012106535,0.15894218542696759
275,bẹp,1.9842615012106535,0.15894218542696759
756,hính,1.9842615012106535,0.15894218542696759
168,amazon,1.9842615012106535,0.15894218542696759
191,bao_bì,1.9842615012106535,0.15894218542696759
1983,vội_vàng,1.9842615012106535,0.15894218542696759
250,bưu_cục,1.9842615012106535,0.15894218542696759
375,chương_trình,1.9842615012106535,0.15894218542696759
1736,tnao,1.9842615012106535,0.15894218542696759
1477,room,1.9842615012106535,0.15894218542696759
1475,robot,1.9842615012106535,0.15894218542696759
517,củng,1.9842615012106535,0.15894218542696759
418,chứng_khoán,1.9842615012106535,0.15894218542696759
1459,quảng_nam,1.9842615012106535,0.15894218542696759
1628,thank_shop,1.9842615012106535,0.15894218542696759
339,chuyển_khoản,1.9842615012106535,0.15894218542696759
1454,quăng,1.9842615012106535,0.15894218542696759
1361,oi,1.9842615012106535,0.15894218542696759
1730,tiệt,1.9842615012106535,0.15894218542696759
407,chớp_nhoáng,1.9842615012106535,0.15894218542696759
1450,quá_sức,1.9842615012106535,0.15894218542696759
1448,quyền,1.9842615012106535,0.15894218542696759
2204,đống,1.9842615012106535,0.15894218542696759
1482,rách,1.9842615012106535,0.15894218542696759
504,cố_tình,1.9842615012106535,0.15894218542696759
1742,tp,1.9842615012106535,0.15894218542696759
